Page,Code,Severity,Message,BBox
83,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'ชื่อขบวนการ  (SUBJECT CGARTED) : ............................................................ วันที่ (DATE) : …...........................................'),"[116.06, 136.99, 506.07, 150.22]"
83,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ '….....................................................................................'),"[185.97, 151.37, 358.33, 164.59]"
83,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'จัดท าโดย (CHART BY) : …..........................'),"[368.59, 151.37, 506.1, 164.59]"
83,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'ฝ่าย (DEPARTMENT)'),"[116.06, 165.75, 187.6, 178.98]"
83,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ '….....................................................................................'),"[185.97, 165.75, 358.33, 178.98]"
83,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'หมายเลขเอกสาร (CHART NO) : ................'),"[368.27, 165.75, 506.43, 178.98]"
83,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'สถานะ (Method) : ..........................................................................................'),"[116.06, 180.12, 357.66, 193.35]"
83,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'หน้าที่ (SHEET NO) : ….........…/..................'),"[368.27, 180.12, 506.43, 193.35]"
83,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'จ านวนระยะ'),"[331.68, 193.19, 380.38, 206.42]"
83,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'เวลา'),"[393.1, 193.19, 408.04, 206.42]"
83,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'ชื่อกระบวนการ'),"[215.38, 198.74, 263.77, 211.96]"
83,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'ขั้นตอน'),"[120.63, 198.74, 144.57, 211.96]"
83,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'สัญลักษณ์'),"[427.07, 198.74, 458.79, 211.96]"
83,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'หมายเหตุ'),"[478.36, 198.74, 509.45, 211.96]"
83,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ '(ชิ้น)'),"[335.92, 204.62, 350.31, 217.85]"
83,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ '(ซม.) (วินาที)'),"[364.02, 204.62, 412.06, 217.85]"
83,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'น าข้าวใส่เครื่องรีดข้าว'),"[152.32, 216.06, 222.03, 229.29]"
83,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'กดปุ่มเริ่มและรอเครื่องท าการรีดข้าว'),"[152.32, 227.5, 267.01, 240.72]"
83,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'ส่งไปยังเครื่องป้อนไส้กล้วยผ่านทางสายพานล าเลียง'),"[152.32, 238.93, 314.76, 252.16]"
83,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'ท าการป้อนไส้กล้วยลงบนแผ่นข้าว'),"[152.32, 250.37, 259.63, 263.59]"
83,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'ส่งไปยังจุดเซ็นเซอร์ของชุดดันข้าวผ่านสายพานล าเลียง'),"[152.32, 261.81, 323.58, 275.03]"
83,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'ชุดดันข้าวดันแผ่นข้าวลงบนเครื่องพรีฟอร์ม'),"[152.32, 273.56, 286.78, 286.79]"
83,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'ใช้วิธีการอัด'),"[472.16, 275.2, 509.05, 288.42]"
83,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'เครื่องพรีฟอร์มท าการประกบแผ่นข้าวให้ห่อกล้วย'),"[152.32, 285.66, 307.39, 298.88]"
83,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'เพื่อให้ข้าว'),"[472.16, 293.16, 505.59, 306.39]"
83,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'ชุดดันข้าวท าการดันแผ่นข้าวออกไปยังสายพาน'),"[152.32, 297.74, 299.35, 310.96]"
